detector,batch_id,score,flagged,threshold,model,features,seed
ks,40,0.7209302325581395,True,0.6434108527131783,sage,base_gfp,1
conf,40,0.12216022622061912,False,0.14030253117580965,sage,base_gfp,1
psi,41,2.4366026960212794,True,1.5236816451484274,sage,base_gfp,1
ks,41,0.4728682170542636,False,0.6434108527131783,sage,base_gfp,1
conf,41,0.11486684821106247,False,0.14030253117580965,sage,base_gfp,1
psi,42,1.2007690266960573,False,1.5236816451484274,sage,base_gfp,1
ks,42,0.6356589147286822,False,0.6434108527131783,sage,base_gfp,1
conf,42,0.04963494802103399,False,0.14030253117580965,sage,base_gfp,1
psi,43,0.9255674988757383,False,1.5236816451484274,sage,base_gfp,1
ks,43,0.7054263565891473,True,0.6434108527131783,sage,base_gfp,1
conf,43,0.045617940504944804,False,0.14030253117580965,sage,base_gfp,1
psi,44,1.0654070274779905,False,1.5236816451484274,sage,base_gfp,1
ks,44,0.5271317829457365,False,0.6434108527131783,sage,base_gfp,1
conf,44,0.10030729737071525,False,0.14030253117580965,sage,base_gfp,1
psi,45,1.1946084977499207,False,1.5236816451484274,sage,base_gfp,1
ks,45,0.6046511627906976,False,0.6434108527131783,sage,base_gfp,1
conf,45,0.08205757049418783,False,0.14030253117580965,sage,base_gfp,1
psi,46,3.146406778299379,True,1.5236816451484274,sage,base_gfp,1
ks,46,0.4263565891472868,False,0.6434108527131783,sage,base_gfp,1
conf,46,0.05346715750655101,False,0.14030253117580965,sage,base_gfp,1
psi,47,1.0992834530064284,False,1.5236816451484274,sage,base_gfp,1
ks,47,0.6511627906976745,True,0.6434108527131783,sage,base_gfp,1
conf,47,0.04754799689934208,False,0.14030253117580965,sage,base_gfp,1
psi,48,1.6460483841916336,True,1.5236816451484274,sage,base_gfp,1
ks,48,0.6046511627906976,False,0.6434108527131783,sage,base_gfp,1
conf,48,0.10287390565193105,False,0.14030253117580965,sage,base_gfp,1
psi,49,1.7411674900877954,True,1.5236816451484274,sage,base_gfp,1
ks,49,0.6666666666666666,True,0.6434108527131783,sage,base_gfp,1
conf,49,0.1370994549078287,False,0.14030253117580965,sage,base_gfp,1
psi,38,0.25861448529111825,False,1.5236816451484274,sage,base_gfp,2
ks,38,0.5813953488372093,False,0.6434108527131783,sage,base_gfp,2
conf,38,0.06703378979869815,False,0.16863777089783277,sage,base_gfp,2
psi,39,2.467151526727238,True,1.5236816451484274,sage,base_gfp,2
ks,39,0.5581395348837209,False,0.6434108527131783,sage,base_gfp,2
conf,39,0.2009587176686548,True,0.16863777089783277,sage,base_gfp,2
psi,40,1.086082397008295,False,1.5236816451484274,sage,base_gfp,2
ks,40,0.7209302325581395,True,0.6434108527131783,sage,base_gfp,2
conf,40,0.13188563881879514,False,0.16863777089783277,sage,base_gfp,2
psi,41,2.4366026960212794,True,1.5236816451484274,sage,base_gfp,2
ks,41,0.4728682170542636,False,0.6434108527131783,sage,base_gfp,2
conf,41,0.1343906346846377,False,0.16863777089783277,sage,base_gfp,2
psi,42,1.2007690266960573,False,1.5236816451484274,sage,base_gfp,2
ks,42,0.6356589147286822,False,0.6434108527131783,sage,base_gfp,2
conf,42,0.06007069669903997,False,0.16863777089783277,sage,base_gfp,2
psi,43,0.9255674988757383,False,1.5236816451484274,sage,base_gfp,2
ks,43,0.7054263565891473,True,0.6434108527131783,sage,base_gfp,2
conf,43,0.09287509797958327,False,0.16863777089783277,sage,base_gfp,2
psi,44,1.0654070274779905,False,1.5236816451484274,sage,base_gfp,2
ks,44,0.5271317829457365,False,0.6434108527131783,sage,base_gfp,2
conf,44,0.10566225841822563,False,0.16863777089783277,sage,base_gfp,2
psi,45,1.1946084977499207,False,1.5236816451484274,sage,base_gfp,2
ks,45,0.6046511627906976,False,0.6434108527131783,sage,base_gfp,2
conf,45,0.13629712740551964,False,0.16863777089783277,sage,base_gfp,2
psi,46,3.146406778299379,True,1.5236816451484274,sage,base_gfp,2
ks,46,0.4263565891472868,False,0.6434108527131783,sage,base_gfp,2
conf,46,0.06631100173324891,False,0.16863777089783277,sage,base_gfp,2
psi,47,1.0992834530064284,False,1.5236816451484274,sage,base_gfp,2
ks,47,0.6511627906976745,True,0.6434108527131783,sage,base_gfp,2
conf,47,0.04219096085952356,False,0.16863777089783277,sage,base_gfp,2
psi,48,1.6460483841916336,True,1.5236816451484274,sage,base_gfp,2
ks,48,0.6046511627906976,False,0.6434108527131783,sage,base_gfp,2
conf,48,0.08944732912417164,False,0.16863777089783277,sage,base_gfp,2
psi,49,1.7411674900877954,True,1.5236816451484274,sage,base_gfp,2
ks,49,0.6666666666666666,True,0.6434108527131783,sage,base_gfp,2
conf,49,0.1369197977763893,False,0.16863777089783277,sage,base_gfp,2
psi,38,0.25861448529111825,False,1.5236816451484274,sage,base_gfp,3
ks,38,0.5813953488372093,False,0.6434108527131783,sage,base_gfp,3
conf,38,0.05881062077800399,False,0.1764441529787958,sage,base_gfp,3
psi,39,2.467151526727238,True,1.5236816451484274,sage,base_gfp,3
ks,39,0.5581395348837209,False,0.6434108527131783,sage,base_gfp,3
conf,39,0.18567661125375756,True,0.1764441529787958,sage,base_gfp,3
psi,40,1.086082397008295,False,1.5236816451484274,sage,base_gfp,3
ks,40,0.7209302325581395,True,0.6434108527131783,sage,base_gfp,3
conf,40,0.1389805695452027,False,0.1764441529787958,sage,base_gfp,3
psi,41,2.4366026960212794,True,1.5236816451484274,sage,base_gfp,3
ks,41,0.4728682170542636,False,0.6434108527131783,sage,base_gfp,3
conf,41,0.10816539590349683,False,0.1764441529787958,sage,base_gfp,3
psi,42,1.2007690266960573,False,1.5236816451484274,sage,base_gfp,3
ks,42,0.6356589147286822,False,0.6434108527131783,sage,base_gfp,3
conf,42,0.05271347260461462,False,0.1764441529787958,sage,base_gfp,3
psi,43,0.9255674988757383,False,1.5236816451484274,sage,base_gfp,3
ks,43,0.7054263565891473,True,0.6434108527131783,sage,base_gfp,3
conf,43,0.0300987772402595,False,0.1764441529787958,sage,base_gfp,3
psi,44,1.0654070274779905,False,1.5236816451484274,sage,base_gfp,3
ks,44,0.5271317829457365,False,0.6434108527131783,sage,base_gfp,3
conf,44,0.09266565630995971,False,0.1764441529787958,sage,base_gfp,3
psi,45,1.1946084977499207,False,1.5236816451484274,sage,base_gfp,3
ks,45,0.6046511627906976,False,0.6434108527131783,sage,base_gfp,3
conf,45,0.11616369443306096,False,0.1764441529787958,sage,base_gfp,3
psi,46,3.146406778299379,True,1.5236816451484274,sage,base_gfp,3
ks,46,0.4263565891472868,False,0.6434108527131783,sage,base_gfp,3
conf,46,0.0898905948531332,False,0.1764441529787958,sage,base_gfp,3
psi,47,1.0992834530064284,False,1.5236816451484274,sage,base_gfp,3
ks,47,0.6511627906976745,True,0.6434108527131783,sage,base_gfp,3
conf,47,0.043588637800939994,False,0.1764441529787958,sage,base_gfp,3
psi,48,1.6460483841916336,True,1.5236816451484274,sage,base_gfp,3
ks,48,0.6046511627906976,False,0.6434108527131783,sage,base_gfp,3
conf,48,0.07385679012961338,False,0.1764441529787958,sage,base_gfp,3
psi,49,1.7411674900877954,True,1.5236816451484274,sage,base_gfp,3
ks,49,0.6666666666666666,True,0.6434108527131783,sage,base_gfp,3
conf,49,0.14132477410741973,False,0.1764441529787958,sage,base_gfp,3
psi,38,0.25861448529111825,False,1.5236816451484274,sage,base_gfp,4
